DISTRICT,REST
MILPA_ALTA,453
LA_MAGDALENA_CONTRERAS,600
CUAJIMALPA,707
TLAHUAC,1115
XOCHIMILCO,1393
IZTACALCO,1888
AZCAPOTZALCO,2066
ALVARO_OBREGON,2166
COYOACAN,2390
TLALPAN,2408
BENITO_JUAREZ,2862
MIGUEL_HIDALGO,2867
VENUSTIANO_CARRANZA,3200
GUSTAVO_A._MADERO,4665
IZTAPALAPA,6093
CUAUHTEMOC,6360
